
================= bg (101 distinct, sorted by luma) =================
luma  sat   H   S   L   hex       xN   sample files
  14  0.71  208  55   6  #071018   x5    auth/SucculentAuthLoader.tsx
  18  0.69  213  52   8  #0a1420   x8    home/BestSellerGrid.tsx
  19  0.2   150  11   7  #101412   x1    combo/page.tsx
  20  0.27  150  16   7  #101613   x1    combo/ComboBuilder.tsx
  20  0.7   206  53   8  #0a1721   x2    product/UnifiedProductDetail.tsx
  21  0.68  209  51   9  #0b1722   x6    collections/page.tsx
  22  0.72  203  57   9  #0a1a24   x1    chatbot/ChatWindow.tsx
  23  0.31  150  18   9  #121a16   x2    admin/AdminBlogAutomation.tsx
  24  0.68  203  52  10  #0c1c26   x1    order-tracker/OrderTrackerClient.tsx
  24  0.56  221  39  11  #111827   x1    product/ProductFaqs.tsx
  25  0.69  202  53  10  #0c1d27   x1    product/UnifiedProductDetail.tsx
  28  0.67  209  51  12  #0f1f2e   x4    ui/Dropdown.tsx
  29  0.56  147  38  10  #102419   x2    admin/AdminDashboard.tsx
  29  0.69  207  52  12  #0f2130   x1    order-tracker/OrderTrackerClient.tsx
  30  0.54  202  37  12  #132129   x2    ui/DarkModeToggle.tsx
  31  0.69  202  52  12  #0f2430   x1    chatbot/ChatWindow.tsx
  32  0.33  160  20  12  #182420   x3    admin/AdminBlogAutomation.tsx
  32  0.69  201  53  13  #0f2531   x1    chatbot/ChatWindow.tsx
  33  0.69  201  52  13  #102733   x1    chatbot/ChatInput.tsx
  33  0.68  199  52  13  #102732   x1    chatbot/ChatWindow.tsx
  33  0.71  206  55  14  #102637   x1    order-tracker/OrderTrackerClient.tsx
  34  0.31    9  18  14  #2a1f1d   x1    admin/AdminBlogAutomation.tsx
  37  0.65  202  49  15  #132a37   x2    order-tracker/OrderTrackerClient.tsx
  38  0.3   152  18  14  #1e2b25   x2    admin/AdminBlogAutomation.tsx
  39  1     348 100  24  #7a0019   x1    wishlist/WishlistCounter.tsx
  40  0.6   158  43  14  #143227   x4    [order]/page.tsx
  43  0.66  205  49  18  #173144   x2    [order]/page.tsx
  44  0.27  143  15  17  #243129   x5    admin/AdminBlogAutomation.tsx
  46  0.38  150  23  17  #21352b   x1    about/page.tsx
  47  0.62  156  45  16  #173c2d   x3    admin/AdminDashboard.tsx
