sheet,rowNumber,catalogTitle,matchType,firebaseId,firebaseTitle,regularPrice,salePrice,compareAtPrice,inventoryQuantity,available,beforeAfter
"Master Catalog","2","Ruby Necklace (Othonna capensis) &#8212; Purple Red Trailing Succulent","missing","","","99","59","99","","true",""
"Master Catalog","3","Echeveria Menina &#8212; Soft Pastel Pink Ruffled Rosette Succulent","missing","","","119","79","119","","true",""
"Master Catalog","4","Sedum Nussaumerianum &#8212; Warm Yellow Orange Trailing Stonecrop","missing","","","109","69","109","","true",""
"Master Catalog","5","Echeveria Pallida &#8212; Elegant Large Pale Green Ruffled Rosette","missing","","","139","89","139","","true",""
"Master Catalog","6","Haworthiopsis Reinwardtii &#8212; Zebra Wart Striped Indoor Succulent","missing","","","240","159","240","","true",""
"Master Catalog","7","String of Bananas (Senecio radicans) &#8212; Blue Green Fishhook Trailer","missing","","","89","59","89","","true",""
"Master Catalog","8","Echeveria Prolifica &#8212; Fast Clustering Offset Rich Rosette","missing","","","139","79","139","","true",""
"Master Catalog","9","White Cylindrical Pot with Geometric Design Plant Container Set","title","white-cylindrical-pot-with-geometric-design-plant-container-set","White Cylindrical Pot with Geometric Design Plant Container Set","430","300","430","","true","{""before"":{""price"":300,""compareAtPrice"":430,""available"":true,""availability"":null,""status"":""active""},""after"":{""price"":300,""compareAtPrice"":430,""available"":true,""availability"":""InStock"",""status"":""active""}}"
"Master Catalog","10","Mammillaria Spinosissima &#8212; Red Spine Pincushion Cactus","missing","","","279","179","279","","true",""
"Master Catalog","11","Mammillaria Elongata &#8212; Gold Lace Clustering Cactus","missing","","","210","139","210","","true",""
"Master Catalog","12","Echinopsis Calochlora &#8212; Flowering Globe Cactus","missing","","","220","139","220","","true",""
"Master Catalog","13","Echeveria Agavoides &#8212; Geometric Waxy Red Tipped Rosette Succulent","missing","","","200","119","200","","true",""
"Master Catalog","14","Echeveria Agavoides Santa &#8212; Deep Red Waxy Pointed Rosette Succulent","missing","","","199","119","199","","true",""
"Master Catalog","15","Combo 4 - The Radiant Rosette Collection","title","combo-4-pretty-succulents","Combo 4 - The Radiant Rosette Collection","349","349","349","","true","{""before"":{""price"":349,""compareAtPrice"":0,""available"":true,""availability"":null,""status"":""active""},""after"":{""price"":349,""compareAtPrice"":349,""available"":true,""availability"":""InStock"",""status"":""active""}}"
"Master Catalog","16","Sedum Sexangulare &#8212; Tasteless Stonecrop Hardy Ground Cover Succulent","missing","","","60","39","60","","false",""
"Master Catalog","17","Pachyveria 'Clavifolia' &#8212; Thick Club Leaf Pastel Hybrid Rosette","missing","","","130","89","130","","true",""
"Master Catalog","18","Cobweb Houseleek (Sempervivum arachnoideum) &#8212; Frost Hardy Succulent","missing","","","139","89","139","","true",""
"Master Catalog","19","Graptopetalum Superbum &#8212; Lavender Pink Ghost Plant Rosette","missing","","","159","99","159","","true",""
"Master Catalog","20","Christmas Cactus (Schlumbergera truncata) &#8212; Flowering Holiday Cactus","missing","","","119","79","119","","true",""
"Master Catalog","21","Houseleek (Sempervivum) &#8212; Hardy Outdoor Clustering Rosette","missing","","","190","129","190","","true",""
"Master Catalog","22","Gasteria &#8212; Best Low Light Indoor Succulent","missing","","","150","99","150","","true",""
"Master Catalog","23","Sedum Treleasei &#8212; Silver Blue Plump Leaf Stonecrop","missing","","","120","79","120","","true",""
"Master Catalog","24","Wandering Jew (Tradescantia zebrina) &#8212; Silver Green Striped Trailer","missing","","","60","39","60","","false",""
"Master Catalog","25","Elephant Bush (Portulacaria afra) &#8212; Bonsai Jade Succulent","missing","","","79","39","79","","true",""
"Master Catalog","26","Crassula Campfire &#8212; Red Green Colour Changing Succulent","missing","","","80","49","80","","true",""
"Master Catalog","27","Crassula Campfire Variegated &#8212; Green Yellow Colour Changing Succulent","missing","","","150","89","150","","true",""
"Master Catalog","28","Faucaria Tigrina &#8212; Tiger Jaw Flowering Mesemb Succulent","missing","","","149","99","149","","true",""
"Master Catalog","29","Moonstone (Pachyphytum oviferum) &#8212; Pearl White Egg Leaf Succulent","missing","","","120","79","120","","true",""
"Master Catalog","30","Echeveria Agavoides 'Romeo' &#8212; Deep Burgundy Red Premium Rosette","missing","","","250","149","250","","true",""
"Master Catalog","31","Watch Chain Crassula (Crassula muscosa) &#8212; Zipper Textured Succulent","missing","","","100","49","100","","true",""
"Master Catalog","32","Kalanchoe Marnieriana &#8212; Marnier's Stacked Disc Blue Pink Succulent","missing","","","109","69","109","","true",""
"Master Catalog","33","Echeveria Melaco &#8212; Vivid Multi-Colour Gradient Rosette Succulent","missing","","","150","99","150","","true",""
"Master Catalog","34","Echeveria Perle von Nurnberg &#8212; Purple Iridescent Premium Rosette","missing","","","170","99","170","","true",""
"Master Catalog","35","Molded Wax (Echeveria agavoides) &#8212; Geometric Waxy Red Tipped Rosette","missing","","","169","99","169","","true",""
"Master Catalog","36","Echeveria Harmsii &#8212; Red Velvet Fuzzy Textured Rosette","missing","","","110","69","110","","false",""
"Master Catalog","37","Sedum Green Mini &#8212; Compact Bright Green Clustering Stonecrop","missing","","","90","59","90","","true",""
